Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 5 individuos
Operador de cruce: Cruce de Orden
Operador de mutación: Mutación por Inversión
Selector de sobrevivientes: Steady State con reemplazo de 25
Fitness mejor solución:    5635.0
Costo promedio (Población): 5635,00
Tiempo total de ejecución: 727.0 ms
Tiempo promedio por generación: 0,73 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 17153.0
Mejor fitness en iteración 458: 5635.0
Mejor fitness en iteración 459: 5635.0
Mejor fitness en iteración 460: 5635.0
Mejor fitness en iteración 461: 5635.0
Mejor fitness en iteración 462: 5635.0
Mejor fitness en iteración 463: 5635.0
Mejor fitness en iteración 464: 5635.0
Mejor fitness en iteración 465: 5635.0
Mejor fitness en iteración 466: 5635.0
Mejor fitness en iteración 467: 5635.0
Mejor fitness en iteración 468: 5635.0
Mejor fitness en iteración 469: 5635.0
Mejor fitness en iteración 470: 5635.0
Mejor fitness en iteración 471: 5635.0
Mejor fitness en iteración 472: 5635.0
Mejor fitness en iteración 473: 5635.0
Mejor fitness en iteración 474: 5635.0
Mejor fitness en iteración 475: 5635.0
Mejor fitness en iteración 476: 5635.0
Mejor fitness en iteración 477: 5635.0
Mejor fitness en iteración 478: 5635.0
Mejor fitness en iteración 479: 5635.0
Mejor fitness en iteración 480: 5635.0
Mejor fitness en iteración 481: 5635.0
Mejor fitness en iteración 482: 5635.0
Mejor fitness en iteración 483: 5635.0
Mejor fitness en iteración 484: 5635.0
Mejor fitness en iteración 485: 5635.0
Mejor fitness en iteración 486: 5635.0
Mejor fitness en iteración 487: 5635.0
Mejor fitness en iteración 488: 5635.0
Mejor fitness en iteración 489: 5635.0
Mejor fitness en iteración 490: 5635.0
Mejor fitness en iteración 491: 5635.0
Mejor fitness en iteración 492: 5635.0
Mejor fitness en iteración 493: 5635.0
Mejor fitness en iteración 494: 5635.0
Mejor fitness en iteración 495: 5635.0
Mejor fitness en iteración 496: 5635.0
Mejor fitness en iteración 497: 5635.0
Mejor fitness en iteración 498: 5635.0
Mejor fitness en iteración 499: 5635.0
Mejor fitness en iteración 500: 5635.0
Mejor fitness en iteración 501: 5635.0
Mejor fitness en iteración 502: 5635.0
Mejor fitness en iteración 503: 5635.0
Mejor fitness en iteración 504: 5635.0
Mejor fitness en iteración 505: 5635.0
Mejor fitness en iteración 506: 5635.0
Mejor fitness en iteración 507: 5635.0
Mejor fitness en iteración 508: 5635.0
Mejor fitness en iteración 509: 5635.0
Mejor fitness en iteración 510: 5635.0
Mejor fitness en iteración 511: 5635.0
Mejor fitness en iteración 512: 5635.0
Mejor fitness en iteración 513: 5635.0
Mejor fitness en iteración 514: 5635.0
Mejor fitness en iteración 515: 5635.0
Mejor fitness en iteración 516: 5635.0
Mejor fitness en iteración 517: 5635.0
Mejor fitness en iteración 518: 5635.0
Mejor fitness en iteración 519: 5635.0
Mejor fitness en iteración 520: 5635.0
Mejor fitness en iteración 521: 5635.0
Mejor fitness en iteración 522: 5635.0
Mejor fitness en iteración 523: 5635.0
Mejor fitness en iteración 524: 5635.0
Mejor fitness en iteración 525: 5635.0
Mejor fitness en iteración 526: 5635.0
Mejor fitness en iteración 527: 5635.0
Mejor fitness en iteración 528: 5635.0
Mejor fitness en iteración 529: 5635.0
Mejor fitness en iteración 530: 5635.0
Mejor fitness en iteración 531: 5635.0
Mejor fitness en iteración 532: 5635.0
Mejor fitness en iteración 533: 5635.0
Mejor fitness en iteración 534: 5635.0
Mejor fitness en iteración 535: 5635.0
Mejor fitness en iteración 536: 5635.0
Mejor fitness en iteración 537: 5635.0
Mejor fitness en iteración 538: 5635.0
Mejor fitness en iteración 539: 5635.0
Mejor fitness en iteración 540: 5635.0
Mejor fitness en iteración 541: 5635.0
Mejor fitness en iteración 542: 5635.0
Mejor fitness en iteración 543: 5635.0
Mejor fitness en iteración 544: 5635.0
Mejor fitness en iteración 545: 5635.0
Mejor fitness en iteración 546: 5635.0
Mejor fitness en iteración 547: 5635.0
Mejor fitness en iteración 548: 5635.0
Mejor fitness en iteración 549: 5635.0
Mejor fitness en iteración 550: 5635.0
Mejor fitness en iteración 551: 5635.0
Mejor fitness en iteración 552: 5635.0
Mejor fitness en iteración 553: 5635.0
Mejor fitness en iteración 554: 5635.0
Mejor fitness en iteración 555: 5635.0
Mejor fitness en iteración 556: 5635.0
Mejor fitness en iteración 557: 5635.0
Mejor fitness en iteración 558: 5635.0
Mejor fitness en iteración 559: 5635.0
Mejor fitness en iteración 560: 5635.0
Mejor fitness en iteración 561: 5635.0
Mejor fitness en iteración 562: 5635.0
Mejor fitness en iteración 563: 5635.0
Mejor fitness en iteración 564: 5635.0
Mejor fitness en iteración 565: 5635.0
Mejor fitness en iteración 566: 5635.0
Mejor fitness en iteración 567: 5635.0
Mejor fitness en iteración 568: 5635.0
Mejor fitness en iteración 569: 5635.0
Mejor fitness en iteración 570: 5635.0
Mejor fitness en iteración 571: 5635.0
Mejor fitness en iteración 572: 5635.0
Mejor fitness en iteración 573: 5635.0
Mejor fitness en iteración 574: 5635.0
Mejor fitness en iteración 575: 5635.0
Mejor fitness en iteración 576: 5635.0
Mejor fitness en iteración 577: 5635.0
Mejor fitness en iteración 578: 5635.0
Mejor fitness en iteración 579: 5635.0
Mejor fitness en iteración 580: 5635.0
Mejor fitness en iteración 581: 5635.0
Mejor fitness en iteración 582: 5635.0
Mejor fitness en iteración 583: 5635.0
Mejor fitness en iteración 584: 5635.0
Mejor fitness en iteración 585: 5635.0
Mejor fitness en iteración 586: 5635.0
Mejor fitness en iteración 587: 5635.0
Mejor fitness en iteración 588: 5635.0
Mejor fitness en iteración 589: 5635.0
Mejor fitness en iteración 590: 5635.0
Mejor fitness en iteración 591: 5635.0
Mejor fitness en iteración 592: 5635.0
Mejor fitness en iteración 593: 5635.0
Mejor fitness en iteración 594: 5635.0
Mejor fitness en iteración 595: 5635.0
Mejor fitness en iteración 596: 5635.0
Mejor fitness en iteración 597: 5635.0
Mejor fitness en iteración 598: 5635.0
Mejor fitness en iteración 599: 5635.0
Mejor fitness en iteración 600: 5635.0
Mejor fitness en iteración 601: 5635.0
Mejor fitness en iteración 602: 5635.0
Mejor fitness en iteración 603: 5635.0
Mejor fitness en iteración 604: 5635.0
Mejor fitness en iteración 605: 5635.0
Mejor fitness en iteración 606: 5635.0
Mejor fitness en iteración 607: 5635.0
Mejor fitness en iteración 608: 5635.0
Mejor fitness en iteración 609: 5635.0
Mejor fitness en iteración 610: 5635.0
Mejor fitness en iteración 611: 5635.0
Mejor fitness en iteración 612: 5635.0
Mejor fitness en iteración 613: 5635.0
Mejor fitness en iteración 614: 5635.0
Mejor fitness en iteración 615: 5635.0
Mejor fitness en iteración 616: 5635.0
Mejor fitness en iteración 617: 5635.0
Mejor fitness en iteración 618: 5635.0
Mejor fitness en iteración 619: 5635.0
Mejor fitness en iteración 620: 5635.0
Mejor fitness en iteración 621: 5635.0
Mejor fitness en iteración 622: 5635.0
Mejor fitness en iteración 623: 5635.0
Mejor fitness en iteración 624: 5635.0
Mejor fitness en iteración 625: 5635.0
Mejor fitness en iteración 626: 5635.0
Mejor fitness en iteración 627: 5635.0
Mejor fitness en iteración 628: 5635.0
Mejor fitness en iteración 629: 5635.0
Mejor fitness en iteración 630: 5635.0
Mejor fitness en iteración 631: 5635.0
Mejor fitness en iteración 632: 5635.0
Mejor fitness en iteración 633: 5635.0
Mejor fitness en iteración 634: 5635.0
Mejor fitness en iteración 635: 5635.0
Mejor fitness en iteración 636: 5635.0
Mejor fitness en iteración 637: 5635.0
Mejor fitness en iteración 638: 5635.0
